date,title,description,url
2024-06-24T14:44:23+00:00,Ruto was whisked away to avoid confrontation with young anti-tax protesters,"Kenyan President William Ruto had to be whisked away by his security team after he attended the consecration of a bishop in the town of Nyahururu Sunday. Local media reported that Ruto’s security team took the decision when they realized the crowds were there to confront him. Young anti-tax protesters had blocked vehicles belonging to leaders of Ruto’s ruling Kenya Kwanza party. Meanwhile, the Kenyan leader has praised young protesters and promised to engage with them amid demonstrations over his government’s plans to raise revenues through additional taxes. David Doyle of Reuters has more.",https://www.voaafrica.com/a/7667881.html
2024-06-14T13:58:18+00:00,Important Kenyan financial institution affects lives in Africa,"Equity Bank Kenya Limited is a prominent Kenyan bank that makes investments and affects lives in Africa. With a customer base of 20 million, it is the largest bank in the region. VOA's Paul Ndiho spoke to Dr. James Mwangi, Chief Executive Officer of Equity Group Holdings, about this financial institution.",https://www.voaafrica.com/a/7656044.html
2024-06-12T09:00:00+00:00,Clean cooking initiative aims to cut indoor air pollution in Africa,"Traditional cooking fuels and technologies are among the major sources of household air pollution in sub-Saharan Africa, with severe health consequences for the population, according to the World Bank. Now, an initiative to promote climate-friendly cooking in the region is introducing stoves that use less charcoal and firewood to improve air quality. Juma Majanga reports from Nakuru, Kenya.",https://www.voaafrica.com/a/7651949.html
2024-06-05T15:13:34+00:00,Kenya-Haiti mission will be armed with prayers,Evangelical pastors have been taking a key role in preparations for Kenya's mission to tackle gang violence in Haiti. David Doyle of Reuters has more.,https://www.voaafrica.com/a/7643826.html
2024-06-05T08:30:00+00:00,Nairobi's Chinatowns: a reflection of greater Chinese presence,"Chinatowns are recognizable all over the world, either by their big red gates or streets lined with Chinese restaurants and stores. In Nairobi, Kenya, there are several Chinatowns of different sizes scattered around the city. VOA Nairobi bureau chief, Mariama Diallo took a stroll in one of them and has this story.",https://www.voaafrica.com/a/7642774.html
2024-05-31T02:36:58+00:00,Kenyan lawmakers probe alleged abuse by British forces,"A Kenyan parliamentary committee is visiting central Kenya to hear from locals about the conduct of a British Army training unit that is accused of human rights violations, including the unresolved death of a woman more than ten years ago. The Kenya National Human Rights Commission prompted the inquiry by petitioning parliament to hold the British army accountable for alleged human rights abuses. Mohammed Yusuf reports",https://www.voaafrica.com/a/7637150.html
2024-05-24T14:54:36+00:00,Kenya President Ruto and US President Biden hold a joint press conference,"US President Joe Biden has named Kenya as a non-NATO ally, making it the first sub-Saharan African country to receive that designation. Kenyan President William Ruto is on a state visit to the United States. VOA’s Douglas Mpuga spoke with political analyst David Monda for an analysis of what was said during the joint press conference.",https://www.voaafrica.com/a/7625618.html
2024-05-24T13:34:53+00:00,President Biden announces the designation of Kenya as a major non-NATO ally,"U.S. President Biden said Thursday he will designate Kenya a major non-NATO ally during Kenyan President Ruto's state visit. What does a non-NATO ally designation mean in practical terms? VOA’s Carol Van Dam put that question to Cameron Hudson, in the Africa Program at the Center for Strategic and International Studies.",https://www.voaafrica.com/a/7625475.html
2024-05-24T13:21:38+00:00,US President Joe Biden welcomes Kenya President William Ruto to the White House,"Kenya’s President William Ruto, on a state visit to the U.S., was welcomed to the White House by President Joe Biden on Thursday in a ceremony filled with pomp, music, and military honor guards. VOA’s Yeheyes Wuhib spoke with White House correspondent Anita Powell, who was at the welcoming ceremony, for more on President Ruto’s state visit.",https://www.voaafrica.com/a/7625464.html
2024-05-24T02:22:05+00:00,"Kenya’s President Ruto appeals for US security support, defends Haiti mission","Kenyan President William Ruto has appealed for US support to strengthen democracy and security in Africa, reduce debt, and enhance its investment in the institutions of Africa integration. Ruto spoke Thursday when President Joe Biden welcomed him to the White House for the first state visit by an African president to the White House since 2008. Ruto defended his decision to deploy Kenyan police to Haiti.",https://www.voaafrica.com/a/7625117.html
2024-05-23T18:55:52+00:00,"Biden says US will name Kenya ""major non-NATO ally,"" launches Nairobi-Washington Vision","U.S. President Joe Biden on Thursday announced that his administration is working with Congress to name Kenya as ""a major non-NATO ally"" during a joint press conference at the White House, saying it ""is a fulfilment of years of collaboration."" Biden also announced the launch of what he called the ""Nairobi-Washington Vision"" that will assemble international financial institutions and nations to mobilize more resources for debt-ridden countries like the East African nation. ""These are big goals, it will take time to see lasting progress,"" he said. Ruto, on his part, expressed ""deep concern"" over what he said are the ""accelerating drift toward regimes indifferent to democratic values,"" adding that he believes it is time for the United States, along with Kenya, to rally ""like-minded democratic countries to set up the course for democracy.""",https://www.voaafrica.com/a/7624446.html
2024-05-23T12:47:58+00:00,Kenya President Ruto’s state visit to the U.S. aims to strengthen ties between the countries,An expert in international relations security and diplomacy says Kenyan President Ruto’s visit to the U.S. could be a turning point for Kenya. Dr. Edgar Githua from the US International University in Nairobi tells VOA’s Yeheyes Wuhib the state visit is poised to be a turning point for Kenya and is aimed at strengthening ties among the two nations.,https://www.voaafrica.com/a/7623888.html
2024-05-23T01:24:46+00:00,US to designate Kenya key non-NATO ally,"Kenyan President William Ruto visited the White House Wednesday, the first day of his three-day state visit. Reuters quotes a source as saying that President Joe Biden is expected to designate Kenya as a major non-NATO ally during Ruto’s visit. Johnnie Carson served as United States ambassador to several African countries, including Kenya. He tells VOA’s James Butty, Ruto’s visit symbolizes the strong connection between the United States and Kenya.",https://www.voaafrica.com/a/7623577.html
2024-05-22T12:48:40+00:00,Kenya’s President comes to Washington for a state visit,"Kenya’s President William Ruto is in Washington, D.C. for a state visit. A White House official says Ruto and U.S. President Joe Biden will discuss ways to strengthen the two countries’ cooperation in several areas. VOA’s James Shimanyula has more from Nairobi.",https://www.voaafrica.com/a/7622341.html
2024-05-16T02:38:05+00:00,Kenya’s President Ruto will not address US Congress,The decision by U.S. House Speaker Mike Johnson’s to not invite Kenyan President William Ruto to a joint meeting of Congress when he comes to Washington later this month has disappointed many people. VOA’s Carol Van Dam has more from Washington.,https://www.voaafrica.com/a/7614265.html
2024-05-15T19:35:14+00:00,US charity helps Kenyan communities build resilience to climate change,"The U.N. environmental agency says Africa is the lowest contributor of global greenhouse emissions yet remains the most vulnerable to the effects of climate change. A U.S. charity called GiveDirectly is helping some African communities build resilience. Juma Majanga reports from Baringo, Kenya.",https://www.voaafrica.com/a/7613623.html
2024-05-14T17:10:52+00:00,Kenyan medical worker's strike is only partially over,"Kenyan doctors are working again but clinical officials and lab workers are still out on strike. Doctor Kahura Mudia, secretary general for the Kenyan Medical Practitioners and Dentists Union, tells VOA’s Yeheyes Wuhib that some issues remain unresolved.",https://www.voaafrica.com/a/7610801.html
2024-05-10T09:00:00+00:00,"Kenyan authorities expect heavy rainfall to continue, flood victims mourn","Kenyan authorities say weeks of flooding that have killed over 240 people while displacing over 235,000, are expected to continue through June — developments happening as residents of the East African nation continue attempts to rebuild their lives and mourn loved ones they lost to the disaster. VOA’s Nairobi Bureau Chief Mariama Diallo has more.",https://www.voaafrica.com/a/7604660.html
2024-05-10T01:28:10+00:00,Kenyans mourn flood victims as government pledges aid,"With deaths nearing 240 and about 235,000 people displaced, Kenyans are mourning their lost loved ones and trying to rebuild after weeks of heavy rains that resulted in deadly floods and landslides. And it’s not over yet as more rain is expected through June. VOA Nairobi Bureau Chief Mariama Diallo has this report",https://www.voaafrica.com/a/7605543.html
2024-05-09T01:16:05+00:00,Kenyan doctors end strike after deal with government,"Kenya’s nearly two-month-old doctors strike ended Wednesday after the doctors signed a back-to-work agreement. They have been on strike for better pay and improved working conditions. President William Ruto appealed to the doctors to reconsider their demand for pay raises because the government could not spend money that it does not have. However, a court gave both sides 48 hours to finalize a back-to-work agreement, or the court would step in and impose a solution. Dr Simon Kigondu, President of the Kenya Medical Association, tells VOA’s James Butty, the strike was worth it because it brought the government and doctors to address the",https://www.voaafrica.com/a/7603975.html
